"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,106,yandex,cpc,freemium,21654,102,25,1654810
2023-06-01,81,vk,cpc,freemium-frontend,3160,39,5,338083
2023-06-01,80,yandex,cpc,prof-frontend,57138,74,12,1168100
2023-06-01,73,vk,cpc,prof-python,2028,40,5,355564
2023-06-01,66,admitad,cpa,admitad,0,0,0,
2023-06-01,66,yandex,cpc,prof-python,33026,65,8,680246
2023-06-01,61,vk,cpc,base-python,2537,37,1,9072
2023-06-01,53,yandex,cpc,prof-java,29490,52,4,284590
2023-06-01,52,vk,cpc,prof-data-analytics,1072,33,0,0
2023-06-01,51,vk,cpc,prof-java,3115,23,2,232726
2023-06-01,45,vk,cpc,freemium-java,487,26,0,0
2023-06-01,45,vk,cpc,freemium-python,980,26,1,1560
2023-06-01,42,yandex,cpc,base-frontend,18061,40,3,268515
2023-06-01,38,telegram,cpp,base-python,0,0,0,
2023-06-01,33,telegram,cpp,base-java,0,0,0,
